date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
9/28/2023,2023,0,,DET,KCR,1475.516939,1449.363929,0.571678805,0.428321195,,,1457.58583,1439.390523,,,,,,,0.558471999,0.441528001,,,,
9/27/2023,2023,0,,SFG,SDP,1501.704288,1519.852501,0.508420602,0.491579398,,,1498.308923,1540.269629,,,,,,,0.473351652,0.526648348,,,,
9/27/2023,2023,0,,SEA,HOU,1523.899441,1560.633526,0.48168238,0.51831762,,,1515.715403,1551.652557,,,,,,,0.48625369,0.51374631,,,,
9/27/2023,2023,0,,ANA,TEX,1499.082809,1512.2874,0.515530845,0.484469155,,,1514.710466,1520.138096,,,,,,,0.531723719,0.468276281,,,,
9/27/2023,2023,0,,COL,LAD,1473.021523,1573.756748,0.391330379,0.608669621,,,1449.824817,1565.362028,,,,,,,0.36851538,0.63148462,,,,
9/27/2023,2023,0,,MIN,OAK,1506.342291,1419.148525,0.654772171,0.345227829,,,1524.582921,1405.884622,,,,,,,0.69534181,0.30465819,,,,
9/27/2023,2023,0,,MIL,STL,1515.611399,1500.939267,0.555424968,0.444575032,,,1528.543168,1503.375442,,,,,,,0.565534981,0.434465019,,,,
9/27/2023,2023,0,,ATL,CHC,1565.562354,1502.887101,0.622210869,0.377789131,,,1567.68316,1496.664335,,,,,,,0.634204452,0.365795548,,,,
9/27/2023,2023,0,,NYM,FLA,1511.177773,1474.264941,0.586773362,0.413226638,,,1534.023993,1486.133401,,,,,,,0.604999489,0.395000511,,,,
9/27/2023,2023,0,,TOR,NYY,1536.927725,1540.923685,0.528756358,0.471243642,,,1543.844967,1555.499411,,,,,,,0.521301593,0.478698407,,,,
9/27/2023,2023,0,,PHI,PIT,1517.536757,1474.02638,0.595950682,0.404049318,,,1522.539278,1469.401973,,,,,,,0.608772903,0.391227097,,,,
9/27/2023,2023,0,,DET,KCR,1475.516939,1449.363929,0.571678805,0.428321195,,,1457.58583,1439.390523,,,,,,,0.558471999,0.441528001,,,,
9/27/2023,2023,0,,BAL,WSN,1517.675808,1459.174888,0.616546047,0.383453953,,,1501.392784,1440.061436,,,,,,,0.619671555,0.380328445,,,,
9/27/2023,2023,0,,CLE,CIN,1506.432939,1457.716542,0.603145615,0.396854385,,,1515.666229,1451.750014,,,,,,,0.620280766,0.379719234,,,,
9/27/2023,2023,0,,BOS,TBD,1515.660197,1564.162708,0.464796396,0.535203604,,,1520.511029,1559.709472,,,,,,,0.48493637,0.51506363,,,,
9/27/2023,2023,0,,CHW,ARI,1471.83726,1502.867424,0.489884161,0.510115839,,,1477.615252,1492.158843,,,,,,,0.514046829,0.485953171,,,,
9/26/2023,2023,0,,SFG,SDP,1501.704288,1519.852501,0.508420602,0.491579398,,,1498.308923,1540.269629,,,,,,,0.473351652,0.526648348,,,,
9/26/2023,2023,0,,SEA,HOU,1523.899441,1560.633526,0.48168238,0.51831762,,,1515.715403,1551.652557,,,,,,,0.48625369,0.51374631,,,,
9/26/2023,2023,0,,ANA,TEX,1499.082809,1512.2874,0.515530845,0.484469155,,,1514.710466,1520.138096,,,,,,,0.531723719,0.468276281,,,,
9/26/2023,2023,0,,COL,LAD,1473.021523,1573.756748,0.391330379,0.608669621,,,1449.824817,1565.362028,,,,,,,0.36851538,0.63148462,,,,
9/26/2023,2023,0,,MIN,OAK,1506.342291,1419.148525,0.654772171,0.345227829,,,1524.582921,1405.884622,,,,,,,0.699721303,0.300278697,,,,
9/26/2023,2023,0,,MIL,STL,1515.611399,1500.939267,0.555424968,0.444575032,,,1528.543168,1503.375442,,,,,,,0.566060054,0.433939946,,,,
9/26/2023,2023,0,,CHW,ARI,1471.83726,1502.867424,0.489884161,0.510115839,,,1477.615252,1492.158843,,,,,,,0.514046829,0.485953171,,,,
9/26/2023,2023,0,,ATL,CHC,1565.562354,1502.887101,0.622210869,0.377789131,,,1567.68316,1496.664335,,,,,,,0.634307037,0.365692963,,,,
9/26/2023,2023,0,,NYM,FLA,1511.177773,1474.264941,0.586773362,0.413226638,,,1534.023993,1486.133401,,,,,,,0.607474115,0.392525885,,,,
9/26/2023,2023,0,,BOS,TBD,1515.660197,1564.162708,0.464796396,0.535203604,,,1520.511029,1559.709472,,,,,,,0.48967012,0.51032988,,,,
9/26/2023,2023,0,,TOR,NYY,1536.927725,1540.923685,0.528756358,0.471243642,,,1543.844967,1555.499411,,,,,,,0.519803136,0.480196864,,,,
9/26/2023,2023,0,,PHI,PIT,1517.536757,1474.02638,0.595950682,0.404049318,,,1522.539278,1469.401973,,,,,,,0.612145462,0.387854538,,,,
9/26/2023,2023,0,,DET,KCR,1475.516939,1449.363929,0.571678805,0.428321195,,,1457.58583,1439.390523,,,,,,,0.55740307,0.44259693,,,,
9/26/2023,2023,0,,BAL,WSN,1517.675808,1459.174888,0.616546047,0.383453953,,,1501.392784,1440.061436,,,,,,,0.618205943,0.381794057,,,,
9/26/2023,2023,0,,CLE,CIN,1506.432939,1457.716542,0.603145615,0.396854385,,,1515.666229,1451.750014,,,,,,,0.622826233,0.377173767,,,,
9/26/2023,2023,0,,COL,LAD,1473.021523,1573.756748,0.391330379,0.608669621,,,1449.824817,1565.362028,,,,,,,0.368380605,0.631619395,,,,
9/25/2023,2023,0,,SFG,SDP,1501.704288,1519.852501,0.508420602,0.491579398,,,1498.308923,1540.269629,,,,,,,0.473660688,0.526339312,,,,
9/25/2023,2023,0,,SEA,HOU,1523.899441,1560.633526,0.48168238,0.51831762,,,1515.715403,1551.652557,,,,,,,0.486476345,0.513523655,,,,
9/25/2023,2023,0,,ANA,TEX,1499.082809,1512.2874,0.515530845,0.484469155,,,1514.710466,1520.138096,,,,,,,0.531345201,0.468654799,,,,
9/25/2023,2023,0,,CHW,ARI,1471.83726,1502.867424,0.489884161,0.510115839,,,1477.615252,1492.158843,,,,,,,0.513812125,0.486187875,,,,
9/24/2023,2023,0,,SDP,STL,1519.852501,1500.939267,0.561444963,0.438555037,,,1540.269629,1503.375442,,,,,,,0.585018101,0.414981899,,,,
9/24/2023,2023,0,,LAD,SFG,1573.756748,1501.704288,0.634813346,0.365186654,,,1565.362028,1498.308923,,,,,,,0.629690128,0.370309872,,,,
9/24/2023,2023,0,,OAK,DET,1419.148525,1475.516939,0.453552411,0.546447589,,,1405.884622,1457.58583,,,,,,,0.461736792,0.538263208,,,,
9/24/2023,2023,0,,TEX,SEA,1512.2874,1523.899441,0.517820156,0.482179844,,,1520.138096,1515.715403,,,,,,,0.537321112,0.462678888,,,,
9/24/2023,2023,0,,CHC,COL,1502.887101,1473.021523,0.576903614,0.423096386,,,1496.664335,1449.824817,,,,,,,0.602610113,0.397389887,,,,
9/24/2023,2023,0,,MIN,ANA,1506.342291,1499.082809,0.544865016,0.455134984,,,1524.582921,1514.710466,,,,,,,0.547539446,0.452460554,,,,
9/24/2023,2023,0,,HOU,KCR,1560.633526,1449.363929,0.685394345,0.314605655,,,1551.652557,1439.390523,,,,,,,0.683687579,0.316312421,,,,
9/24/2023,2023,0,,FLA,MIL,1474.264941,1515.611399,0.475057162,0.524942838,,,1486.133401,1528.543168,,,,,,,0.474917299,0.525082701,,,,
9/24/2023,2023,0,,CLE,BAL,1506.432939,1517.675808,0.518350741,0.481649259,,,1515.666229,1501.392784,,,,,,,0.55207652,0.44792348,,,,
9/24/2023,2023,0,,CIN,PIT,1457.716542,1474.02638,0.511065226,0.488934774,,,1451.750014,1469.401973,,,,,,,0.510095265,0.489904735,,,,
9/24/2023,2023,0,,WSN,ATL,1459.174888,1565.562354,0.383608367,0.616391633,,,1440.061436,1567.68316,,,,,,,0.354427059,0.645572941,,,,
9/24/2023,2023,0,,NYY,ARI,1540.923685,1502.867424,0.58836841,0.41163159,,,1555.499411,1492.158843,,,,,,,0.61981271,0.38018729,,,,
9/24/2023,2023,0,,BOS,CHW,1515.660197,1471.83726,0.596383852,0.403616148,,,1520.511029,1477.615252,,,,,,,0.597229345,0.402770655,,,,
9/24/2023,2023,0,,TBD,TOR,1564.162708,1536.927725,0.573203204,0.426796796,,,1559.709472,1543.844967,,,,,,,0.552977315,0.447022685,,,,
9/24/2023,2023,0,,PHI,NYM,1517.536757,1511.177773,0.543579233,0.456420767,,,1522.539278,1534.023993,,,,,,,0.51551255,0.48448745,,,,
9/23/2023,2023,0,,LAD,SFG,1573.756748,1501.704288,0.634813346,0.365186654,,,1565.362028,1498.308923,,,,,,,0.629690128,0.370309872,,,,
9/23/2023,2023,0,,SDP,STL,1519.852501,1500.939267,0.561444963,0.438555037,,,1540.269629,1503.375442,,,,,,,0.585018101,0.414981899,,,,
9/23/2023,2023,0,,HOU,KCR,1560.633526,1449.363929,0.685394345,0.314605655,,,1551.652557,1439.390523,,,,,,,0.683687579,0.316312421,,,,
9/23/2023,2023,0,,TEX,SEA,1512.2874,1523.899441,0.517820156,0.482179844,,,1520.138096,1515.715403,,,,,,,0.537321112,0.462678888,,,,
9/23/2023,2023,0,,CIN,PIT,1457.716542,1474.02638,0.511065226,0.488934774,,,1451.750014,1469.401973,,,,,,,0.510095265,0.489904735,,,,
9/23/2023,2023,0,,CLE,BAL,1506.432939,1517.675808,0.518350741,0.481649259,,,1515.666229,1501.392784,,,,,,,0.55207652,0.44792348,,,,
9/23/2023,2023,0,,TBD,TOR,1564.162708,1536.927725,0.573203204,0.426796796,,,1559.709472,1543.844967,,,,,,,0.552977315,0.447022685,,,,
9/23/2023,2023,0,,FLA,MIL,1474.264941,1515.611399,0.475057162,0.524942838,,,1486.133401,1528.543168,,,,,,,0.474917299,0.525082701,,,,
9/23/2023,2023,0,,BOS,CHW,1515.660197,1471.83726,0.596383852,0.403616148,,,1520.511029,1477.615252,,,,,,,0.597229345,0.402770655,,,,
9/23/2023,2023,0,,OAK,DET,1419.148525,1475.516939,0.453552411,0.546447589,,,1405.884622,1457.58583,,,,,,,0.461736792,0.538263208,,,,
9/23/2023,2023,0,,PHI,NYM,1517.536757,1511.177773,0.543579233,0.456420767,,,1522.539278,1534.023993,,,,,,,0.51551255,0.48448745,,,,
9/23/2023,2023,0,,CHC,COL,1502.887101,1473.021523,0.576903614,0.423096386,,,1496.664335,1449.824817,,,,,,,0.602610113,0.397389887,,,,
9/23/2023,2023,0,,MIN,ANA,1506.342291,1499.082809,0.544865016,0.455134984,,,1524.582921,1514.710466,,,,,,,0.547539446,0.452460554,,,,
9/23/2023,2023,0,,WSN,ATL,1459.174888,1565.562354,0.383608367,0.616391633,,,1440.061436,1567.68316,,,,,,,0.354427059,0.645572941,,,,
9/23/2023,2023,0,,NYY,ARI,1540.923685,1502.867424,0.58836841,0.41163159,,,1555.499411,1492.158843,,,,,,,0.61981271,0.38018729,,,,
9/22/2023,2023,0,,LAD,SFG,1573.756748,1501.704288,0.634813346,0.365186654,,,1565.362028,1498.308923,,,,,,,0.629690128,0.370309872,,,,
9/22/2023,2023,0,,SDP,STL,1519.852501,1500.939267,0.561444963,0.438555037,,,1540.269629,1503.375442,,,,,,,0.593237686,0.406762314,,,,
9/22/2023,2023,0,,OAK,DET,1419.148525,1475.516939,0.453552411,0.546447589,,,1405.884622,1457.58583,,,,,,,0.461736792,0.538263208,,,,
9/22/2023,2023,0,,MIN,ANA,1506.342291,1499.082809,0.544865016,0.455134984,,,1524.582921,1514.710466,,,,,,,0.551929012,0.448070988,,,,
9/22/2023,2023,0,,HOU,KCR,1560.633526,1449.363929,0.685394345,0.314605655,,,1551.652557,1439.390523,,,,,,,0.687009017,0.312990983,,,,
9/22/2023,2023,0,,TEX,SEA,1512.2874,1523.899441,0.517820156,0.482179844,,,1520.138096,1515.715403,,,,,,,0.542346561,0.457653439,,,,
9/22/2023,2023,0,,CLE,BAL,1506.432939,1517.675808,0.518350741,0.481649259,,,1515.666229,1501.392784,,,,,,,0.55207652,0.44792348,,,,
9/22/2023,2023,0,,BOS,CHW,1515.660197,1471.83726,0.596383852,0.403616148,,,1520.511029,1477.615252,,,,,,,0.595386872,0.404613128,,,,
